id,sourceTableFile,sourceRowNumberApprox,sectionCode,sectionTitle,itemCode,workElementDescription,unit,manHoursPerUnit
07-21-26.10-0050-6-inches-thick-sf,fileoutpart172.xlsx,29,07 21 26.10,"Closed cell, spray polyurethane foam, 2 pounds per CF density",0050,6 inches thick,SF,0.032
07-22-16.10-0010-minimum-sf,fileoutpart174.xlsx,5,07 22 16.10,"Various materiels, e.g., fiberboard, fiberglass, perlite, extruded polystyrene, etc., based on thickness",0010,minimum,SF,0.011
07-22-16.10-0020-average-sf,fileoutpart174.xlsx,6,07 22 16.10,"Various materiels, e.g., fiberboard, fiberglass, perlite, extruded polystyrene, etc., based on thickness",0020,average,SF,0.013
07-22-16.10-0030-maximum-sf,fileoutpart174.xlsx,7,07 22 16.10,"Various materiels, e.g., fiberboard, fiberglass, perlite, extruded polystyrene, etc., based on thickness",0030,maximum,SF,0.015
07-26-10.10-0010-vapor-retarders-0010-various-materiels-e-g-aluminum-and-kraft-foil-one-side-or-two-sides-a-square,fileoutpart176.xlsx,2,07 26 10.10,,0010,"Vapor Retarders (0010) Various materiels, e.g., aluminum and kraft, foil one side or two sides; asphalt felt sheathing paper; polyethylene vapor barrier, etc.",Square,0.287
07-31-13.10-0010-standard-strip-shingles-inorganic-class-a-210-235-pounds-per-square-square,fileoutpart178.xlsx,4,07 31 13.10,Asphalt Roof Shingles,0010,"Standard strip shingles, inorganic, class A, 210-235 pounds per square",Square,1.935
07-31-13.10-0015-pitch-over-7-in-12-square,fileoutpart178.xlsx,5,07 31 13.10,Asphalt Roof Shingles,0015,Pitch over 7 in 12,Square,2.9025
07-31-13.10-0020-pneumatic-nailed-square,fileoutpart178.xlsx,6,07 31 13.10,Asphalt Roof Shingles,0020,Pneumatic nailed,Square,1.52
07-31-13.10-0025-pitch-over-7-in-12-pneumatic-nailed-square,fileoutpart178.xlsx,7,07 31 13.10,Asphalt Roof Shingles,0025,"Pitch over 7 in 12, pneumatic nailed",Square,2.28
07-31-13.10-0030-standard-strip-shingles-organic-class-c-235-240-pounds-per-square-square,fileoutpart178.xlsx,8,07 31 13.10,Asphalt Roof Shingles,0030,"Standard strip shingles, organic, class C, 235-240 pounds per square",Square,2.128
07-31-13.10-0035-pitch-over-7-in-12-square,fileoutpart178.xlsx,9,07 31 13.10,Asphalt Roof Shingles,0035,Pitch over 7 in 12,Square,3.192
07-31-13.10-0040-pneumatic-nailed-square,fileoutpart178.xlsx,10,07 31 13.10,Asphalt Roof Shingles,0040,Pneumatic nailed,Square,1.702
07-31-13.10-0045-pitch-over-7-in-12-pneumatic-nailed-square,fileoutpart178.xlsx,11,07 31 13.10,Asphalt Roof Shingles,0045,"Pitch over 7 in 12, pneumatic nailed",Square,2.553
07-31-13.10-0050-standard-laminated-multilayered-class-a-240-260-pounds-per-square-square,fileoutpart178.xlsx,12,07 31 13.10,Asphalt Roof Shingles,0050,"Standard, laminated multilayered, class A, 240-260 pounds per square",Square,2.365
07-31-13.10-0055-pitch-over-7-in-12-square,fileoutpart178.xlsx,13,07 31 13.10,Asphalt Roof Shingles,0055,Pitch over 7 in 12,Square,3.5475
07-31-13.10-0060-pneumatic-nailed-square,fileoutpart178.xlsx,14,07 31 13.10,Asphalt Roof Shingles,0060,Pneumatic nailed,Square,1.891
07-31-13.10-0065-pitch-over-7-in-12-pneumatic-nailed-square,fileoutpart178.xlsx,15,07 31 13.10,Asphalt Roof Shingles,0065,"Pitch over 7 in 12, pneumatic nailed",Square,2.8365
07-31-13.10-0070-standard-laminated-multilayered-class-c-260-300-pounds-per-square-square,fileoutpart178.xlsx,16,07 31 13.10,Asphalt Roof Shingles,0070,"Standard, laminated multilayered class C, 260-300 pounds per square",Square,2.66
07-31-13.10-0075-pitch-over-7-in-12-square,fileoutpart178.xlsx,17,07 31 13.10,Asphalt Roof Shingles,0075,Pitch over 7 in 12,Square,3.99
07-31-13.10-0080-pneumatic-nailed-square,fileoutpart178.xlsx,18,07 31 13.10,Asphalt Roof Shingles,0080,Pneumatic nailed,Square,2.128
07-31-13.10-0085-pitch-over-7-in-12-pneumatic-nailed-square,fileoutpart178.xlsx,19,07 31 13.10,Asphalt Roof Shingles,0085,"Pitch over 7 in 12, pneumatic nailed",Square,3.192
07-31-13.10-0090-premium-laminated-multilayered-class-a-260-300-pounds-per-square-square,fileoutpart178.xlsx,20,07 31 13.10,Asphalt Roof Shingles,0090,"Premium, laminated multilayered class A, 260-300 pounds per square",Square,3.04
07-31-13.10-0095-pitch-over-7-in-12-square,fileoutpart178.xlsx,21,07 31 13.10,Asphalt Roof Shingles,0095,Pitch over 7 in 12,Square,4.56
07-31-13.10-0100-pneumatic-nailed-square,fileoutpart178.xlsx,22,07 31 13.10,Asphalt Roof Shingles,0100,Pneumatic nailed,Square,2.435
07-31-13.10-0105-pitch-over-7-in-12-pneumatic-nailed-square,fileoutpart178.xlsx,23,07 31 13.10,Asphalt Roof Shingles,0105,"Pitch over 7 in 12, pneumatic nailed",Square,3.6525
07-31-13.10-0110-premium-laminated-multilayered-organic-class-c-300-385-pounds-per-square-square,fileoutpart178.xlsx,24,07 31 13.10,Asphalt Roof Shingles,0110,"Premium, laminated multilayered, organic class C, 300-385 pounds per square",Square,3.574
07-31-13.10-0115-pitch-over-7-in-12-square,fileoutpart178.xlsx,25,07 31 13.10,Asphalt Roof Shingles,0115,Pitch over 7 in 12,Square,5.3205
07-31-13.10-0120-pneumatic-nailed-square,fileoutpart178.xlsx,26,07 31 13.10,Asphalt Roof Shingles,0120,Pneumatic nailed,Square,2.837
07-31-13.10-0125-pitch-over-7-in-12-pneumatic-nailed-square,fileoutpart178.xlsx,27,07 31 13.10,Asphalt Roof Shingles,0125,"Pitch over 7 in 12, pneumatic nailed",Square,4.2555
07-31-13.10-0130-15-pound-felt-underlayment-square,fileoutpart178.xlsx,28,07 31 13.10,Asphalt Roof Shingles,0130,15 pound felt underlayment,Square,0.166
07-31-13.10-0140-30-pound-felt-underlayment-square,fileoutpart178.xlsx,29,07 31 13.10,Asphalt Roof Shingles,0140,30 pound felt underlayment,Square,0.184
07-31-13.10-0150-self-adhering-polyethylene-and-rubberized-asphalt-underlayment-square,fileoutpart178.xlsx,30,07 31 13.10,Asphalt Roof Shingles,0150,Self-adhering polyethylene and rubberized asphalt underlayment,Square,0.484
07-31-13.10-0160-ridge-shingles-lf,fileoutpart178.xlsx,31,07 31 13.10,Asphalt Roof Shingles,0160,Ridge shingles,LF,0.032
07-31-13.10-0170-ridge-shingles-pneumatic-nailed-lf,fileoutpart178.xlsx,32,07 31 13.10,Asphalt Roof Shingles,0170,"Ridge shingles, pneumatic nailed",LF,0.014
07-31-16.20-0010-steel-shingles-0010-galvanized-26-or-24-gauge-square,fileoutpart178.xlsx,33,07 31 16.20,Asphalt Roof Shingles,0010,"Steel Shingles (0010) Galvanized, 26 or 24 gauge",Square,4.836
07-31-26.10-0010-slate-roof-shingles-0010-various-types-3-16-to-1-4-inch-thick-square,fileoutpart178.xlsx,34,07 31 26.10,Asphalt Roof Shingles,0010,"Slate Roof Shingles (0010) Various types, 3/16 to 1/4 inch thick",Square,6.079
07-31-29.13-0010-16-inches-number-1-red-cedar-shingles-5-inch-exposure-on-roof-square,fileoutpart180.xlsx,4,07 31 29.13,Wood Shingles,0010,"16 inches, number 1 red cedar shingles, 5-inch exposure on roof",Square,4.256
07-31-29.13-0020-pneumatic-nailed-square,fileoutpart180.xlsx,5,07 31 29.13,Wood Shingles,0020,Pneumatic nailed,Square,3.274
07-31-29.13-0030-16-inches-number-1-red-cedar-shingles-7-1-2-inch-exposure-on-walls-square,fileoutpart180.xlsx,6,07 31 29.13,Wood Shingles,0030,"16 inches, number 1 red cedar shingles, 7 1/2-inch exposure on walls",Square,5.19
07-31-29.13-0040-pneumatic-nailed-square,fileoutpart180.xlsx,7,07 31 29.13,Wood Shingles,0040,Pneumatic nailed,Square,3.985
07-31-29.13-0050-15-pound-organic-felt-underlayment-on-roof-one-layer-add-square,fileoutpart180.xlsx,8,07 31 29.13,Wood Shingles,0050,"15 pound organic felt underlayment on roof, one layer, add",Square,0.166
07-31-29.13-0060-two-layers-add-square,fileoutpart180.xlsx,9,07 31 29.13,Wood Shingles,0060,"two layers, add",Square,0.332
07-31-29.16-0010-1-2-inch-thick-by-24-inches-long-10-inch-exposure-on-roof-square,fileoutpart180.xlsx,12,07 31 29.16,Wood Shakes (Hand-split red cedar shakes),0010,1/2 inch thick by 24 inches long 10-inch exposure on roof,Square,4.256
07-31-29.16-0020-pneumatic-nailed-square,fileoutpart180.xlsx,13,07 31 29.16,Wood Shakes (Hand-split red cedar shakes),0020,Pneumatic nailed,Square,3.274
07-31-29.16-0030-3-4-inch-thick-by-24-inches-long-10-inch-exposure-on-roof-square,fileoutpart180.xlsx,14,07 31 29.16,Wood Shakes (Hand-split red cedar shakes),0030,"3/4 inch thick by 24 inches long, 10-inch exposure on roof",Square,7.729
07-31-29.16-0040-pneumatic-nailed-square,fileoutpart180.xlsx,15,07 31 29.16,Wood Shakes (Hand-split red cedar shakes),0040,Pneumatic nailed,Square,3.644
07-31-29.16-0050-1-2-to-3-4-inch-thick-by-24-inches-long-10-inch-exposure-on-walls-square,fileoutpart180.xlsx,16,07 31 29.16,Wood Shakes (Hand-split red cedar shakes),0050,"1/2 to 3/4 inch thick by 24 inches long, 10 inch exposure on walls",Square,5.32
07-31-29.16-0060-pneumatic-nailed-square,fileoutpart180.xlsx,17,07 31 29.16,Wood Shakes (Hand-split red cedar shakes),0060,Pneumatic nailed,Square,4.092
07-31-29.16-0070-ridge-shakes-lf,fileoutpart180.xlsx,18,07 31 29.16,Wood Shakes (Hand-split red cedar shakes),0070,Ridge shakes,LF,0.03
07-32-13.10-0010-minimum-i-e-spanish-tile-171-pieces-per-square-square,fileoutpart182.xlsx,4,07 32 13.10,Clay Tiles,0010,"Minimum, i.e., Spanish tile, 171 pieces per square",Square,5.91
